單位名稱,地址,TWD97_X,TWD97_Y
第一救災救護大隊,桃園市桃園區力行路280號,280078.88,2765784.4
桃園分隊,桃園市桃園區力行路280號,280078.88,2765784.4
大林分隊,桃園市桃園區樹仁二街39號,282339.625,2763419.113
中路分隊,桃園市桃園區國豐六街96號,278056.571,2764684.809
八德分隊,桃園市八德區介壽路2段685巷10號,280140.494,2759081.93
大湳分隊,桃園市八德區建國路1133號,279983.005,2761060.472
龜山分隊,桃園市龜山區萬壽路2段639號,284958.86,2765737.92
坪頂分隊,桃園市龜山區文化一路53之1號,287709.94,2772233.48
迴龍分隊,桃園市龜山區萬壽路1段42號,291377.25,2768097.93
茄苳分隊,桃園市八德區茄苳路950號,278159.17,2761990.54
三民分隊,桃園市桃園區三民路3段26號,280970.366,2765592.74
大有分隊,桃園市桃園區民有十街88號,282485.03,2766977.46
第二救災救護大隊,桃園市中壢區義民路120號,271763.868,2760616.667
中壢分隊,桃園市中壢區義民路120號,271763.868,2760616.667
興國分隊,桃園市中壢區中豐路88號,272192.354,2761622.227
內壢分隊,桃園市中壢區吉林路62號,275052.248,2763621.033
龍岡分隊,桃園市中壢區龍岡路3段754號,274596.487,2757583.648
華勛分隊,桃園市中壢區榮民南路800號,275874.87,2759172.731
楊梅分隊,桃園市楊梅區新農街245巷20號,265408.98,2755891.69
幼獅分隊,桃園市楊梅區幼獅路1段456號,267645.604,2757659.579
富岡分隊,桃園市楊梅區員本里12鄰員德路20號,258989.46,2758721.44
埔心分隊,桃園市楊梅區五守街150號,268888.11,2755965.02
新屋分隊,桃園市新屋區中華路436號,260749.757,2763179.654
永安分隊,桃園市新屋區永安里新港路36號,251664.541,2764610.457
青埔分隊,桃園市中壢區青埔路1段69號,271258.72,2767325.37
第三救災救護大隊,桃園市蘆竹區錦溪路119號,279163.68,2771891.13
大園分隊,桃園市大園區和平二街5號,270290.997,2772601.407
蘆竹分隊,桃園市蘆竹區錦溪路119號,279163.68,2771891.13
大竹分隊,桃園市蘆竹區上興路188號,276338.61,2767900.53
山腳分隊,桃園市蘆竹區山外路515號,279106.892,2775014.876
觀音分隊,桃園市觀音區廣興一路118號,258735.45,2769309.4
新坡分隊,桃園市觀音區中山路2段670號,263757.32,2767176.26
草漯分隊,桃園市觀音區工業五路1號,261895.54,2771627.78
竹圍分隊,桃園市大園區竹圍里11鄰海方厝33之23號,274273.89,2776894.07
第四救災救護大隊,桃園市龍潭區中興路726號,272374.04,2751394.15
平鎮分隊,桃園市平鎮區中豐路南勢2段174號,271205.65,2756318.42
復旦分隊,桃園市平鎮區復旦路2段133號,270448.58,2759988.87
山峰分隊,桃園市平鎮區南豐路263號,270605.25,2754678.72
龍潭分隊,桃園市龍潭區中興路726號,272374.04,2751394.15
高平分隊,桃園市龍潭區渴望二路99巷15號,268580.41,2748276.12
大溪分隊,桃園市大溪區月眉里15鄰100號,278989.76,2753492.09
圳頂分隊,桃園市大溪區介壽路740號,278747.22,2755254.96
復興分隊,桃園市復興區澤仁里中山路2號,285455.1,2745247.23
巴陵分隊,桃園市復興區華陵里10鄰112號,290349.55,2731073.88
特搜大隊,桃園市桃園區三民路3段26號,280970.366,2765592.74
第一搜救救助分隊,桃園市桃園區三民路3段26號,280970.366,2765592.74
第二搜救救助分隊,桃園市中壢區中豐路88號,272192.354,2761622.227
第三搜救救助分隊,桃園市大園區和平二街5號,270290.997,2772601.407
第四搜救救助分隊,桃園市龍潭區中興路726號,272374.04,2751394.15
